County,State,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Pike,KY,19.80475763,14.50729827,14.97199464,17.09152329,20.81302832,78.55767675,24.89698603,38.03088714,27.41601972,28.09108291,56.06607469,38.8431348,34.94115003,38.17514691,42.52208167,69.67501221,67.82654725,56.36715492,70.20998014,46.67394699,54.23861914,63.63502768,53.54146307,76.96058907,57.79150561,55.85298752,46.74179938,42.643038,47.96911112,34.58059317,33.64447574,31.40764907
Powell,KY,1.063802579,9.978835303,1.04272457,0.969434812,1.031661508,15.7680745,1.335345909,1.182974758,2.254133493,1.192594415,1.327995812,1.060192117,1.08714823,1.117856745,1.262474725,2.4723026,1.369147313,1.400959281,1.650207325,1.017237103,1.053699198,1.285162082,1.334579621,1.302019181,1.214076655,1.510654031,1.127846757,1.266418479,1.603431125,0.808048191,0.804173004,0.895387178
Pulaski,KY,20.68380972,10.5083779,4.594819047,5.803267401,4.042627695,6.15795869,4.009282467,6.789367089,3.903609481,3.375430695,4.050064317,2.993122399,3.733226889,3.513743516,4.129092928,5.829473199,3.787258756,2.363370497,47.92009647,3.412064054,3.780736395,4.07516502,4.024861272,7.193476616,8.119194459,5.39771405,3.365563611,4.33334846,4.319421033,2.919350295,2.898424982,3.25399682
Rockcastle,KY,6.001289182,4.711458144,3.815551638,2.967805662,1.906900795,1.997641208,0.975025668,1.054595164,0.987203263,0.92445354,0.945050022,0.618930584,0.600081331,0.698456693,0.393932571,0.739499217,0.683544398,0.509785709,0.984831601,0.269564333,0.594715531,0.654391926,0.721829424,1.46270022,1.145989988,0.6855116,0.781206652,0.868866856,0.858704382,0.644393184,0.583105222,0.65684909
Rowan,KY,6.939240801,16.29710338,3.904217674,3.926370734,4.386091714,12.7397763,4.282804506,4.020993241,6.122574961,4.002919923,4.060238663,4.112138223,4.184641109,4.488829476,4.480461314,6.182251707,4.873450164,5.031923315,5.132291042,4.617333185,4.742885221,5.509115833,5.753370809,5.738786695,5.448641661,5.779948884,5.608908827,4.945847555,5.111305192,4.738355393,4.558356129,4.727012914
Wayne,KY,30.58095658,21.48397295,11.80304227,14.29484975,9.006678455,8.353572892,7.424608203,14.79500202,8.771273848,8.033379921,7.315575615,6.97355119,7.519145269,7.303236103,7.213833915,7.916048068,7.386993722,3.42581772,20.67636532,7.597677225,7.649502919,8.226984731,8.501096177,11.06957582,10.5030704,8.350875811,7.634168237,8.491653609,8.21387089,7.122753313,7.141473549,7.635094065
Whitley,KY,17.25330252,71.99792187,10.5646227,10.15272108,9.475132326,33.3566699,5.125652261,4.644802283,4.067893917,3.39514984,2.840065472,3.950549354,3.564098105,2.350091245,2.308198613,2.61612494,2.213044723,2.05494526,3.658942436,1.421608964,1.928452795,3.223819068,2.609893484,3.584468654,2.9806585,1.853128921,1.696106151,1.297285797,2.086500079,1.715905333,2.118735639,2.240307239
Wolfe,KY,3.502792839,20.21698104,3.226205806,2.451450447,2.360665958,41.42323037,1.517729876,2.185490162,4.157049335,3.123914668,4.534314802,3.597270184,3.463144436,3.337434435,3.677437211,5.621982833,2.41244731,0.991431761,3.03407459,0.467492542,0.598449687,1.36702164,0.642302362,1.889313039,1.275303794,2.030230761,0.993350571,0.563591279,0.68831161,0.566304971,0.355074869,0.294349292
Anderson,TN,6.671602753,126.3328641,4.689003005,5.344830145,5.657605535,6.902224929,5.058736519,5.750777985,5.383844504,5.691568065,6.593343222,6.971851122,6.321270393,5.874602626,7.14468454,5.936773281,5.76302303,6.385074056,7.199521883,5.514274149,6.302137084,7.140228226,7.656009192,8.026050857,8.337462392,7.6833038,7.287024254,6.983802137,6.412605478,6.634059821,6.075533326,5.784555937
Campbell,TN,19.9440565,143.3116317,9.651414437,10.03715914,9.501403855,17.46073527,7.785848368,6.275311265,5.61033708,5.367664599,4.593387401,5.075626921,4.248295639,4.497225662,5.129523777,4.40639114,4.444762371,4.797723717,5.390973299,4.052719924,4.330266545,5.570984825,5.964218768,6.201848985,5.865548012,5.402381508,5.880218546,5.584311306,5.302621042,4.933246985,4.538034224,3.414908437
Claiborne,TN,10.34252605,163.4669569,5.098129586,5.907537414,5.480828028,16.48479342,5.433995168,4.44925783,5.250833664,5.914918433,5.000207832,6.823985652,7.174823842,6.53051082,10.14198505,6.32759775,6.865909413,6.512422858,9.167226547,7.069047065,7.222099396,9.186562387,8.944788332,9.850132171,9.00137174,7.797214114,6.935342501,5.611801551,5.121281063,5.791976324,4.901514487,4.913228654
Cumberland,TN,15.50338449,13.72649693,8.682742358,97.33815993,4.568816363,10.65935736,8.551022209,60.75291901,8.773386489,9.507006652,4.501441994,5.335613673,10.7383787,8.333658877,6.761315786,10.33813043,8.900151993,16.95494153,23.20964311,20.48480179,9.150047493,14.45077833,10.40818961,18.52100781,10.66037125,13.22495689,11.06528983,12.1537888,13.69758327,6.264522269,6.544935019,8.140304107
Fentress,TN,13.95317826,10.21129348,4.469055401,35.21253495,3.637115577,5.124170402,5.284462226,14.7824771,6.19327061,5.713117147,2.869903881,3.835217589,9.240724656,9.755320457,6.929129851,8.53714877,5.608057946,7.01103033,19.40177716,14.44780819,8.726181128,8.127814608,5.827458997,9.071021896,6.55059207,6.967155815,6.971317621,5.87706298,6.920650594,3.524151486,3.454578387,3.153870126
Morgan,TN,6.716814068,17.04196146,3.239117757,4.691642437,2.20811201,2.695688834,1.793365904,2.645174577,2.018461314,2.696325089,2.01526728,2.81359926,4.541666467,7.863103082,6.119090165,5.008476005,8.59433633,9.369377711,6.704608123,4.114546684,1.608813458,4.493474083,3.198911759,2.692662789,2.478410247,1.826835042,1.632700867,1.836175726,2.226706415,1.567678467,1.598584647,1.54660133
Overton,TN,10.47202794,6.11560032,1.619745918,10.86741395,1.401745601,1.592939711,2.436836454,9.093101879,3.053708063,3.250013929,1.556442125,2.05065551,4.238823373,2.384284608,1.590525362,2.65974546,2.259175694,2.051174264,9.518670583,2.460428511,2.028961837,2.492604395,3.04375774,4.838484292,3.979585107,4.101791796,3.710893434,4.592186023,3.673967925,2.281371775,1.805040729,2.367184326
